Region,Date(NZST),Time(NZST),Tair(C),Twet(C),RH(%),Tdew(C),
Canterbury,"2016,Jan,01","08,00",19.0,15.3,66.0,12.5,
Canterbury,"2016,Jan,01","08,00",18.4,13.2,52.0,8.4,
Canterbury,"2016,Jan,01","08,00",12.0,7.2,45.1,0.5,
Canterbury,"2016,Jan,01","08,00",16.8,11.0,44.0,4.5,
Canterbury,"2016,Jan,01","08,00",11.2,2.9,12.0,-23.1,
Canterbury,"2016,Jan,01","08,00",10.9,2.9,13.0,-21.8,
Canterbury,"2016,Jan,01","08,00",16.0,12.0,59.6,8.1,
Canterbury,"2016,Jan,01","08,00",16.9,14.6,77.0,12.9,
Canterbury,"2016,Jan,01","08,00",16.8,15.6,87.6,14.7,
Canterbury,"2016,Jan,01","08,00",15.6,14.1,84.0,12.9,
Canterbury,"2016,Jan,01","08,00",12.6,12.5,98.8,12.4,
Canterbury,"2016,Jan,01","08,00",14.3,11.7,71.0,9.1,
Canterbury,"2016,Jan,01","08,00",15.8,13.9,80.0,12.4,
Canterbury,"2016,Jan,01","08,00",10.3,4.7,36.0,-5.5,
Canterbury,"2016,Jan,01","08,00",15.0,13.6,85.0,12.5,
Canterbury,"2016,Jan,02","08,00",17.4,16.4,90.0,15.7,
Canterbury,"2016,Jan,02","08,00",15.6,11.9,62.0,8.4,
Canterbury,"2016,Jan,02","08,00",16.0,11.4,53.9,6.7,
Canterbury,"2016,Jan,02","08,00",15.5,11.9,63.0,8.5,
Canterbury,"2016,Jan,02","08,00",6.9,4.5,67.0,0.8,
Canterbury,"2016,Jan,02","08,00",8.8,6.1,66.0,2.4,
Canterbury,"2016,Jan,02","08,00",15.5,11.5,58.9,7.5,
Canterbury,"2016,Jan,02","08,00",14.6,13.2,84.0,11.9,
Canterbury,"2016,Jan,02","08,00",17.4,16.4,89.8,15.7,
Canterbury,"2016,Jan,02","08,00",14.8,14.2,93.3,13.7,
Canterbury,"2016,Jan,02","08,00",14.2,13.7,94.3,13.3,
Canterbury,"2016,Jan,02","08,00",14.3,10.9,63.0,7.4,
Canterbury,"2016,Jan,02","08,00",14.9,13.6,86.0,12.6,
Canterbury,"2016,Jan,02","08,00",8.9,6.8,73.0,4.0,
Canterbury,"2016,Jan,02","08,00",15.5,14.1,85.0,13.0,
Canterbury,"2016,Jan,03","08,00",16.2,16.0,98.0,15.9,
Canterbury,"2016,Jan,03","08,00",14.7,12.2,73.0,9.9,
Canterbury,"2016,Jan,03","08,00",13.1,11.7,83.8,10.4,
Canterbury,"2016,Jan,03","08,00",13.0,11.7,85.0,10.6,
Canterbury,"2016,Jan,03","08,00",5.2,5.1,98.0,4.9,
Canterbury,"2016,Jan,03","08,00",5.9,5.6,95.0,5.1,
Canterbury,"2016,Jan,03","08,00",9.5,9.5,100.0,9.5,
Canterbury,"2016,Jan,03","08,00",13.9,12.9,88.0,12.0,
Canterbury,"2016,Jan,03","08,00",16.4,15.4,89.5,14.7,
Canterbury,"2016,Jan,03","08,00",14.5,13.4,87.8,12.5,
Canterbury,"2016,Jan,03","08,00",12.9,12.0,89.4,11.2,
Canterbury,"2016,Jan,03","08,00",11.3,9.8,82.0,8.3,
Canterbury,"2016,Jan,03","08,00",14.3,12.9,84.0,11.7,
Canterbury,"2016,Jan,03","08,00",7.0,7.0,100.0,7.0,
Canterbury,"2016,Jan,03","08,00",13.2,12.4,91.0,11.8,
Canterbury,"2016,Jan,04","08,00",17.1,11.9,50.0,6.6,
Canterbury,"2016,Jan,04","08,00",7.0,4.6,66.0,1.1,
Canterbury,"2016,Jan,04","08,00",4.9,3.2,73.1,0.5,
Canterbury,"2016,Jan,04","08,00",5.4,4.2,81.0,2.4,
Canterbury,"2016,Jan,04","08,00",-5.4,-5.4,95.0,-6.0,
Canterbury,"2016,Jan,04","08,00",-2.2,-2.2,98.0,-2.5,
Canterbury,"2016,Jan,04","08,00",6.5,5.0,77.7,2.9,
Canterbury,"2016,Jan,04","08,00",11.4,8.2,62.0,4.4,
Canterbury,"2016,Jan,04","08,00",16.8,10.9,43.5,4.3,
Canterbury,"2016,Jan,04","08,00",11.1,7.4,55.6,2.6,
Canterbury,"2016,Jan,04","08,00",9.5,6.5,61.3,2.4,
Canterbury,"2016,Jan,04","08,00",5.6,4.2,78.0,2.1,
Canterbury,"2016,Jan,04","08,00",11.2,7.4,55.0,2.5,
Canterbury,"2016,Jan,04","08,00",-4.4,-4.4,97.0,-4.9,
Canterbury,"2016,Jan,04","08,00",10.4,7.2,60.0,3.0,
Canterbury,"2016,Jan,05","08,00",15.4,13.1,76.0,11.2,
Canterbury,"2016,Jan,05","08,00",13.2,9.2,56.0,4.6,
Canterbury,"2016,Jan,05","08,00",10.6,7.7,64.1,4.1,
Canterbury,"2016,Jan,05","08,00",11.8,9.6,73.0,7.1,
Canterbury,"2016,Jan,05","08,00",4.5,2.2,65.0,-1.9,
Canterbury,"2016,Jan,05","08,00",6.2,2.3,46.0,-5.5,
Canterbury,"2016,Jan,05","08,00",8.5,7.5,86.2,6.3,
Canterbury,"2016,Jan,05","08,00",13.3,10.9,73.0,8.6,
Canterbury,"2016,Jan,05","08,00",14.6,12.9,81.4,11.4,
Canterbury,"2016,Jan,05","08,00",12.5,10.2,73.2,7.8,
Canterbury,"2016,Jan,05","08,00",13.0,11.2,79.2,9.5,
Canterbury,"2016,Jan,05","08,00",9.4,7.7,78.0,5.8,
Canterbury,"2016,Jan,05","08,00",13.2,10.8,73.0,8.5,
Canterbury,"2016,Jan,05","08,00",6.0,2.8,55.0,-3.0,
Canterbury,"2016,Jan,05","08,00",11.4,9.7,79.0,7.9,
Canterbury,"2016,Jan,06","08,00",15.4,14.3,88.0,13.4,
Canterbury,"2016,Jan,06","08,00",12.8,10.1,69.0,7.3,
Canterbury,"2016,Jan,06","08,00",10.5,8.9,79.7,7.2,
Canterbury,"2016,Jan,06","08,00",12.2,10.4,79.0,8.7,
Canterbury,"2016,Jan,06","08,00",4.8,2.9,72.0,-0.1,
Canterbury,"2016,Jan,06","08,00",7.7,4.4,57.0,-0.8,
Canterbury,"2016,Jan,06","08,00",12.5,10.5,76.6,8.5,
Canterbury,"2016,Jan,06","08,00",14.6,12.1,73.0,9.8,
Canterbury,"2016,Jan,06","08,00",15.2,14.1,88.1,13.2,
Canterbury,"2016,Jan,06","08,00",14.6,12.4,76.1,10.4,
Canterbury,"2016,Jan,06","08,00",11.6,10.8,90.2,10.0,
Canterbury,"2016,Jan,06","08,00",9.1,8.8,96.0,8.5,
Canterbury,"2016,Jan,06","08,00",15.0,12.1,69.0,9.4,
Canterbury,"2016,Jan,06","08,00",7.4,4.9,67.0,1.3,
Canterbury,"2016,Jan,06","08,00",14.1,11.8,75.0,9.7,
Canterbury,"2016,Jan,07","08,00",14.9,13.3,82.0,11.9,
Canterbury,"2016,Jan,07","08,00",16.5,8.4,24.0,-4.1,
Canterbury,"2016,Jan,07","08,00",14.5,7.8,31.7,-2.1,
Canterbury,"2016,Jan,07","08,00",14.3,8.3,38.0,0.2,
Canterbury,"2016,Jan,07","08,00",2.8,-0.9,44.0,-9.2,
Canterbury,"2016,Jan,07","08,00",3.9,1.3,60.0,-3.7,
Canterbury,"2016,Jan,07","08,00",14.5,9.5,47.7,3.6,
Canterbury,"2016,Jan,07","08,00",14.8,12.5,75.0,10.4,
Canterbury,"2016,Jan,07","08,00",15.9,14.5,85.2,13.4,
Canterbury,"2016,Jan,07","08,00",14.6,12.4,76.1,10.4,
Canterbury,"2016,Jan,07","08,00",12.7,11.2,82.4,9.8,
Canterbury,"2016,Jan,07","08,00",11.2,9.4,78.0,7.5,
Canterbury,"2016,Jan,07","08,00",14.6,11.8,70.0,9.2,
Canterbury,"2016,Jan,07","08,00",3.8,1.8,68.0,-2.0,
Canterbury,"2016,Jan,07","08,00",14.1,12.1,78.0,10.3,
Canterbury,"2016,Jan,08","08,00",17.3,16.8,95.0,16.5,
Canterbury,"2016,Jan,08","08,00",14.4,12.5,79.0,10.8,
Canterbury,"2016,Jan,08","08,00",13.2,11.9,85.0,10.7,
Canterbury,"2016,Jan,08","08,00",14.8,12.6,76.0,10.6,
Canterbury,"2016,Jan,08","08,00",6.6,6.3,96.0,6.0,
Canterbury,"2016,Jan,08","08,00",8.2,7.7,93.0,7.1,
Canterbury,"2016,Jan,08","08,00",16.0,12.0,59.6,8.1,
Canterbury,"2016,Jan,08","08,00",16.4,14.9,84.0,13.7,
Canterbury,"2016,Jan,08","08,00",16.0,15.9,98.9,15.8,
Canterbury,"2016,Jan,08","08,00",16.3,13.6,72.4,11.3,
Canterbury,"2016,Jan,08","08,00",15.0,14.2,91.2,13.6,
Canterbury,"2016,Jan,08","08,00",17.2,12.5,55.0,8.1,
Canterbury,"2016,Jan,08","08,00",15.8,14.6,87.0,13.6,
Canterbury,"2016,Jan,08","08,00",9.0,8.7,96.0,8.4,
Canterbury,"2016,Jan,08","08,00",16.8,13.9,71.0,11.5,
Canterbury,"2016,Jan,09","08,00",15.6,12.1,64.0,8.8,
Canterbury,"2016,Jan,09","08,00",16.8,9.1,28.0,-1.8,
Canterbury,"2016,Jan,09","08,00",14.4,9.6,49.5,4.0,
Canterbury,"2016,Jan,09","08,00",15.7,8.4,29.0,-2.3,
Canterbury,"2016,Jan,09","08,00",5.3,-,-,-,
Canterbury,"2016,Jan,09","08,00",3.7,1.2,61.0,-3.6,
Canterbury,"2016,Jan,09","08,00",12.0,8.0,53.7,2.9,
Canterbury,"2016,Jan,09","08,00",13.8,10.5,64.0,7.1,
Canterbury,"2016,Jan,09","08,00",14.7,12.2,73.0,9.9,
Canterbury,"2016,Jan,09","08,00",13.2,11.6,81.6,10.1,
Canterbury,"2016,Jan,09","08,00",12.3,11.2,86.8,10.2,
Canterbury,"2016,Jan,09","08,00",11.7,8.1,57.0,3.5,
Canterbury,"2016,Jan,09","08,00",14.2,11.4,69.0,8.6,
Canterbury,"2016,Jan,09","08,00",2.8,1.0,70.0,-2.5,
Canterbury,"2016,Jan,09","08,00",13.5,10.6,68.0,7.7,
Canterbury,"2016,Jan,10","08,00",15.3,12.3,68.0,9.5,
Canterbury,"2016,Jan,10","08,00",18.8,8.5,13.0,-10.2,
Canterbury,"2016,Jan,10","08,00",17.9,8.0,13.7,-10.2,
Canterbury,"2016,Jan,10","08,00",15.0,6.6,18.0,-9.1,
Canterbury,"2016,Jan,10","08,00",3.8,0.7,52.0,-5.9,
Canterbury,"2016,Jan,10","08,00",3.5,0.9,59.0,-4.3,
Canterbury,"2016,Jan,10","08,00",9.5,6.5,61.3,2.4,
Canterbury,"2016,Jan,10","08,00",14.4,9.1,45.0,2.6,
Canterbury,"2016,Jan,10","08,00",15.1,13.4,81.7,12.0,
Canterbury,"2016,Jan,10","08,00",15.2,11.7,63.4,8.3,
Canterbury,"2016,Jan,10","08,00",12.5,11.2,84.6,10.0,
Canterbury,"2016,Jan,10","08,00",9.8,5.8,50.0,-0.1,
Canterbury,"2016,Jan,10","08,00",14.8,10.4,54.0,5.6,
Canterbury,"2016,Jan,10","08,00",4.5,2.2,65.0,-1.9,
Canterbury,"2016,Jan,10","08,00",14.8,10.0,50.0,4.5,
Canterbury,"2016,Jan,11","08,00",15.3,12.4,69.0,9.7,
Canterbury,"2016,Jan,11","08,00",10.5,7.7,65.0,4.2,
Canterbury,"2016,Jan,11","08,00",11.8,8.3,58.9,4.0,
Canterbury,"2016,Jan,11","08,00",11.2,8.7,70.0,5.9,
Canterbury,"2016,Jan,11","08,00",9.2,4.4,42.0,-4.1,
Canterbury,"2016,Jan,11","08,00",11.7,6.6,44.0,-1.0,
Canterbury,"2016,Jan,11","08,00",8.5,8.0,93.1,7.4,
Canterbury,"2016,Jan,11","08,00",13.4,10.1,63.0,6.5,
Canterbury,"2016,Jan,11","08,00",15.3,12.3,68.5,9.5,
Canterbury,"2016,Jan,11","08,00",13.2,10.7,71.6,8.2,
Canterbury,"2016,Jan,11","08,00",11.9,9.5,71.5,6.9,
Canterbury,"2016,Jan,11","08,00",8.4,5.4,60.0,1.1,
Canterbury,"2016,Jan,11","08,00",13.5,10.1,62.0,6.4,
Canterbury,"2016,Jan,11","08,00",9.3,4.5,42.0,-4.0,
Canterbury,"2016,Jan,11","08,00",12.2,9.1,64.0,5.6,
Canterbury,"2016,Jan,12","08,00",14.1,12.7,84.0,11.5,
Canterbury,"2016,Jan,12","08,00",18.5,11.8,40.0,4.7,
Canterbury,"2016,Jan,12","08,00",16.4,11.6,52.7,6.7,
Canterbury,"2016,Jan,12","08,00",17.0,12.7,58.0,8.7,
Canterbury,"2016,Jan,12","08,00",11.7,5.4,32.0,-6.0,
Canterbury,"2016,Jan,12","08,00",10.4,4.8,36.0,-5.4,
Canterbury,"2016,Jan,12","08,00",18.6,11.6,37.6,3.9,
Canterbury,"2016,Jan,12","08,00",12.9,12.7,97.0,12.4,
Canterbury,"2016,Jan,12","08,00",14.0,12.6,84.3,11.4,
Canterbury,"2016,Jan,12","08,00",17.1,14.4,73.1,12.2,
Canterbury,"2016,Jan,12","08,00",18.6,15.6,71.5,13.4,
Canterbury,"2016,Jan,12","08,00",16.6,11.7,52.0,6.7,
Canterbury,"2016,Jan,12","08,00",16.1,13.8,76.0,11.9,
Canterbury,"2016,Jan,12","08,00",14.2,6.8,28.0,-5.8,
Canterbury,"2016,Jan,12","08,00",15.1,13.3,81.0,11.9,
Canterbury,"2016,Jan,13","08,00",14.7,14.3,95.0,13.9,
Canterbury,"2016,Jan,13","08,00",15.6,11.2,55.0,6.6,
Canterbury,"2016,Jan,13","08,00",14.6,10.7,58.7,6.6,
Canterbury,"2016,Jan,13","08,00",15.6,12.0,63.0,8.6,
Canterbury,"2016,Jan,13","08,00",3.8,3.3,92.0,2.6,
Canterbury,"2016,Jan,13","08,00",6.0,5.6,94.0,5.1,
Canterbury,"2016,Jan,13","08,00",6.5,6.1,94.0,5.6,
Canterbury,"2016,Jan,13","08,00",11.2,9.9,84.0,8.6,
Canterbury,"2016,Jan,13","08,00",15.3,14.3,89.2,13.5,
Canterbury,"2016,Jan,13","08,00",10.9,10.5,94.9,10.1,
Canterbury,"2016,Jan,13","08,00",10.0,10.0,100.0,10.0,
Canterbury,"2016,Jan,13","08,00",7.6,6.3,81.0,4.6,
Canterbury,"2016,Jan,13","08,00",10.2,9.6,92.0,9.0,
Canterbury,"2016,Jan,13","08,00",4.3,4.0,95.0,3.5,
Canterbury,"2016,Jan,13","08,00",10.6,8.9,79.0,7.1,
Canterbury,"2016,Jan,14","08,00",15.6,14.9,92.0,14.3,
Canterbury,"2016,Jan,14","08,00",9.7,7.3,69.0,4.3,
Canterbury,"2016,Jan,14","08,00",7.9,6.2,76.2,4.0,
Canterbury,"2016,Jan,14","08,00",9.7,7.9,76.0,5.7,
Canterbury,"2016,Jan,14","08,00",8.7,1.5,14.0,-22.5,
Canterbury,"2016,Jan,14","08,00",10.7,2.2,8.0,-33.2,
Canterbury,"2016,Jan,14","08,00",9.4,7.8,78.9,5.9,
Canterbury,"2016,Jan,14","08,00",13.1,9.7,62.0,6.0,
Canterbury,"2016,Jan,14","08,00",15.9,14.6,86.2,13.6,
Canterbury,"2016,Jan,14","08,00",11.8,9.5,72.5,7.0,
Canterbury,"2016,Jan,14","08,00",11.9,9.5,71.5,6.9,
Canterbury,"2016,Jan,14","08,00",8.5,7.1,81.0,5.4,
Canterbury,"2016,Jan,14","08,00",12.0,9.1,66.0,5.9,
Canterbury,"2016,Jan,14","08,00",4.2,3.1,83.0,1.4,
Canterbury,"2016,Jan,14","08,00",11.7,9.2,70.0,6.4,
Canterbury,"2016,Jan,15","08,00",13.0,12.7,96.0,12.4,
Canterbury,"2016,Jan,15","08,00",21.9,12.3,25.0,1.0,
Canterbury,"2016,Jan,15","08,00",20.4,11.3,25.5,0.0,
Canterbury,"2016,Jan,15","08,00",15.0,11.1,59.0,7.1,
Canterbury,"2016,Jan,15","08,00",3.1,2.4,88.0,1.2,
Canterbury,"2016,Jan,15","08,00",5.4,4.9,92.0,4.2,
Canterbury,"2016,Jan,15","08,00",21.5,13.5,35.4,5.6,
Canterbury,"2016,Jan,15","08,00",23.0,16.5,48.0,11.4,
Canterbury,"2016,Jan,15","08,00",13.8,13.5,96.5,13.3,
Canterbury,"2016,Jan,15","08,00",21.4,15.5,50.6,10.7,
Canterbury,"2016,Jan,15","08,00",21.5,13.5,35.4,5.6,
Canterbury,"2016,Jan,15","08,00",20.3,13.0,38.0,5.5,
Canterbury,"2016,Jan,15","08,00",25.4,14.7,25.0,4.0,
Canterbury,"2016,Jan,15","08,00",3.7,3.5,96.0,3.1,
Canterbury,"2016,Jan,15","08,00",22.2,15.7,47.0,10.4,
Canterbury,"2016,Jan,16","08,00",10.9,10.6,96.0,10.3,
Canterbury,"2016,Jan,16","08,00",8.4,7.9,93.0,7.3,
Canterbury,"2016,Jan,16","08,00",8.0,7.7,95.7,7.4,
Canterbury,"2016,Jan,16","08,00",8.0,7.7,96.0,7.4,
Canterbury,"2016,Jan,16","08,00",5.6,5.3,95.0,4.8,
Canterbury,"2016,Jan,16","08,00",7.1,5.9,83.0,4.3,
Canterbury,"2016,Jan,16","08,00",8.5,8.0,93.1,7.4,
Canterbury,"2016,Jan,16","08,00",10.5,10.0,94.0,9.6,
Canterbury,"2016,Jan,16","08,00",11.6,10.9,91.4,10.2,
Canterbury,"2016,Jan,16","08,00",12.3,11.4,89.2,10.6,
Canterbury,"2016,Jan,16","08,00",11.2,10.6,92.5,10.0,
Canterbury,"2016,Jan,16","08,00",8.8,7.9,87.0,6.8,
Canterbury,"2016,Jan,16","08,00",12.0,11.5,94.0,11.1,
Canterbury,"2016,Jan,16","08,00",5.5,5.4,98.0,5.2,
Canterbury,"2016,Jan,16","08,00",9.8,9.7,99.0,9.7,
Canterbury,"2016,Jan,17","08,00",16.8,15.9,91.0,15.3,
Canterbury,"2016,Jan,17","08,00",11.9,10.8,87.0,9.8,
Canterbury,"2016,Jan,17","08,00",10.4,9.7,91.0,9.0,
Canterbury,"2016,Jan,17","08,00",11.6,11.0,92.0,10.4,
Canterbury,"2016,Jan,17","08,00",7.3,6.2,85.0,4.8,
Canterbury,"2016,Jan,17","08,00",9.3,8.2,86.0,7.0,
Canterbury,"2016,Jan,17","08,00",9.5,9.5,100.0,9.5,
Canterbury,"2016,Jan,17","08,00",12.0,11.7,96.0,11.4,
Canterbury,"2016,Jan,17","08,00",16.0,15.5,94.7,15.1,
Canterbury,"2016,Jan,17","08,00",14.2,13.7,94.3,13.3,
Canterbury,"2016,Jan,17","08,00",13.2,13.0,97.6,12.8,
Canterbury,"2016,Jan,17","08,00",10.4,9.6,89.0,8.7,
Canterbury,"2016,Jan,17","08,00",13.3,12.8,94.0,12.4,
Canterbury,"2016,Jan,17","08,00",10.0,8.0,76.0,5.8,
Canterbury,"2016,Jan,17","08,00",11.7,11.6,99.0,11.5,
Canterbury,"2016,Jan,18","08,00",16.6,16.3,97.0,16.1,
Canterbury,"2016,Jan,18","08,00",8.7,8.1,92.0,7.5,
Canterbury,"2016,Jan,18","08,00",7.9,7.5,94.3,7.0,
Canterbury,"2016,Jan,18","08,00",8.3,8.1,97.0,7.9,
Canterbury,"2016,Jan,18","08,00",2.4,2.4,99.0,2.3,
Canterbury,"2016,Jan,18","08,00",3.2,3.2,100.0,3.2,
Canterbury,"2016,Jan,18","08,00",9.9,8.7,84.4,7.4,
Canterbury,"2016,Jan,18","08,00",11.3,11.0,96.0,10.7,
Canterbury,"2016,Jan,18","08,00",16.6,16.1,94.7,15.8,
Canterbury,"2016,Jan,18","08,00",11.0,10.9,98.7,10.8,
Canterbury,"2016,Jan,18","08,00",10.1,10.0,98.7,9.9,
Canterbury,"2016,Jan,18","08,00",9.8,8.5,83.0,7.1,
Canterbury,"2016,Jan,18","08,00",11.1,10.8,96.0,10.5,
Canterbury,"2016,Jan,18","08,00",2.8,2.8,100.0,2.8,
Canterbury,"2016,Jan,18","08,00",10.1,10.0,99.0,10.0,
Canterbury,"2016,Jan,19","08,00",14.7,14.4,97.0,14.2,
Canterbury,"2016,Jan,19","08,00",11.2,10.8,95.0,10.4,
Canterbury,"2016,Jan,19","08,00",10.8,10.5,96.2,10.2,
Canterbury,"2016,Jan,19","08,00",10.2,9.8,95.0,9.4,
Canterbury,"2016,Jan,19","08,00",4.3,4.3,100.0,4.3,
Canterbury,"2016,Jan,19","08,00",4.9,4.9,100.0,4.9,
Canterbury,"2016,Jan,19","08,00",12.1,11.6,93.9,11.2,
Canterbury,"2016,Jan,19","08,00",13.4,13.2,97.0,12.9,
Canterbury,"2016,Jan,19","08,00",15.2,15.0,97.8,14.9,
Canterbury,"2016,Jan,19","08,00",13.6,13.4,97.7,13.2,
Canterbury,"2016,Jan,19","08,00",12.5,12.5,100.0,12.5,
Canterbury,"2016,Jan,19","08,00",12.7,11.8,89.0,10.9,
Canterbury,"2016,Jan,19","08,00",13.9,13.3,93.0,12.8,
Canterbury,"2016,Jan,19","08,00",5.0,4.9,99.0,4.9,
Canterbury,"2016,Jan,19","08,00",12.8,12.8,100.0,12.8,
Canterbury,"2016,Jan,20","08,00",15.1,14.9,98.0,14.8,
Canterbury,"2016,Jan,20","08,00",15.3,13.4,80.0,11.9,
Canterbury,"2016,Jan,20","08,00",12.8,11.8,88.2,10.9,
Canterbury,"2016,Jan,20","08,00",17.9,12.7,51.0,7.7,
Canterbury,"2016,Jan,20","08,00",5.3,4.3,85.0,2.8,
Canterbury,"2016,Jan,20","08,00",7.5,5.8,77.0,3.5,
Canterbury,"2016,Jan,20","08,00",13.6,12.8,90.8,12.1,
Canterbury,"2016,Jan,20","08,00",14.2,13.8,95.0,13.4,
Canterbury,"2016,Jan,20","08,00",15.5,15.1,95.6,14.8,
Canterbury,"2016,Jan,20","08,00",13.8,13.7,98.8,13.6,
Canterbury,"2016,Jan,20","08,00",11.5,11.5,100.0,11.5,
Canterbury,"2016,Jan,20","08,00",14.4,13.0,84.0,11.7,
Canterbury,"2016,Jan,20","08,00",13.6,13.3,96.0,13.0,
Canterbury,"2016,Jan,20","08,00",6.4,5.8,92.0,5.1,
Canterbury,"2016,Jan,20","08,00",13.6,13.6,100.0,13.6,
Canterbury,"2016,Jan,21","08,00",14.5,14.1,95.0,13.7,
Canterbury,"2016,Jan,21","08,00",18.1,12.5,48.0,7.0,
Canterbury,"2016,Jan,21","08,00",16.5,11.6,51.9,6.6,
Canterbury,"2016,Jan,21","08,00",15.7,11.8,60.0,8.0,
Canterbury,"2016,Jan,21","08,00",5.5,4.1,79.0,1.9,
Canterbury,"2016,Jan,21","08,00",6.4,5.8,91.0,5.0,
Canterbury,"2016,Jan,21","08,00",16.5,13.8,72.6,11.6,
Canterbury,"2016,Jan,21","08,00",19.8,16.3,68.0,13.7,
Canterbury,"2016,Jan,21","08,00",15.8,14.2,83.1,12.9,
Canterbury,"2016,Jan,21","08,00",18.7,16.4,78.0,14.8,
Canterbury,"2016,Jan,21","08,00",20.0,15.7,61.6,12.4,
Canterbury,"2016,Jan,21","08,00",17.7,13.0,55.0,8.6,
Canterbury,"2016,Jan,21","08,00",17.9,16.2,83.0,15.0,
Canterbury,"2016,Jan,21","08,00",7.9,5.7,71.0,2.7,
Canterbury,"2016,Jan,21","08,00",19.3,15.4,64.0,12.3,
Canterbury,"2016,Jan,22","08,00",15.8,15.4,96.0,15.2,
Canterbury,"2016,Jan,22","08,00",18.9,13.1,48.0,7.7,
Canterbury,"2016,Jan,22","08,00",18.8,12.3,42.0,5.6,
Canterbury,"2016,Jan,22","08,00",19.5,12.5,39.0,5.2,
Canterbury,"2016,Jan,22","08,00",7.2,4.5,64.0,0.4,
Canterbury,"2016,Jan,22","08,00",8.3,6.3,74.0,3.7,
Canterbury,"2016,Jan,22","08,00",19.4,13.5,47.8,8.0,
Canterbury,"2016,Jan,22","08,00",17.6,15.7,81.0,14.3,
Canterbury,"2016,Jan,22","08,00",16.4,15.8,93.7,15.4,
Canterbury,"2016,Jan,22","08,00",22.0,17.2,59.7,13.8,
Canterbury,"2016,Jan,22","08,00",22.4,17.0,55.6,13.1,
Canterbury,"2016,Jan,22","08,00",18.8,13.8,54.0,9.3,
Canterbury,"2016,Jan,22","08,00",20.0,16.2,66.0,13.5,
Canterbury,"2016,Jan,22","08,00",7.6,6.0,79.0,4.0,
Canterbury,"2016,Jan,22","08,00",19.0,17.0,81.0,15.7,
Canterbury,"2016,Jan,23","08,00",15.9,15.4,94.0,15.0,
Canterbury,"2016,Jan,23","08,00",18.5,12.2,43.0,5.7,
Canterbury,"2016,Jan,23","08,00",17.5,11.1,40.5,3.9,
Canterbury,"2016,Jan,23","08,00",17.2,10.7,39.0,3.1,
Canterbury,"2016,Jan,23","08,00",7.4,4.8,65.0,0.9,
Canterbury,"2016,Jan,23","08,00",6.5,5.4,84.0,3.9,
Canterbury,"2016,Jan,23","08,00",16.9,15.6,87.0,14.7,
Canterbury,"2016,Jan,23","08,00",17.3,16.9,95.9,16.6,
Canterbury,"2016,Jan,23","08,00",20.0,17.5,77.0,15.8,
Canterbury,"2016,Jan,23","08,00",22.4,17.7,60.9,14.5,
Canterbury,"2016,Jan,23","08,00",20.2,14.6,51.0,9.8,
Canterbury,"2016,Jan,23","08,00",18.6,15.9,74.0,13.9,
Canterbury,"2016,Jan,23","08,00",9.5,5.4,51.0,-0.9,
Canterbury,"2016,Jan,23","08,00",18.6,16.4,79.0,14.9,
Canterbury,"2016,Jan,24","08,00",17.1,16.9,98.0,16.8,
Canterbury,"2016,Jan,24","08,00",19.4,14.3,54.0,9.9,
Canterbury,"2016,Jan,24","08,00",17.4,13.2,59.5,9.4,
Canterbury,"2016,Jan,24","08,00",16.1,14.4,82.0,13.0,
Canterbury,"2016,Jan,24","08,00",6.7,6.1,91.0,5.3,
Canterbury,"2016,Jan,24","08,00",8.6,8.0,92.0,7.3,
Canterbury,"2016,Jan,24","08,00",19.0,16.5,76.3,14.7,
Canterbury,"2016,Jan,24","08,00",17.3,16.3,90.0,15.6,
Canterbury,"2016,Jan,24","08,00",17.9,17.9,100.0,17.9,
Canterbury,"2016,Jan,24","08,00",17.2,16.1,88.8,15.3,
Canterbury,"2016,Jan,24","08,00",17.0,15.2,81.7,13.9,
Canterbury,"2016,Jan,24","08,00",14.8,13.7,88.0,12.8,
Canterbury,"2016,Jan,24","08,00",16.9,15.2,83.0,14.0,
Canterbury,"2016,Jan,24","08,00",9.3,8.4,88.0,7.3,
Canterbury,"2016,Jan,24","08,00",16.1,14.9,87.0,13.9,
Canterbury,"2016,Jan,25","08,00",18.8,18.6,98.0,18.5,
Canterbury,"2016,Jan,25","08,00",18.9,15.1,65.0,12.2,
Canterbury,"2016,Jan,25","08,00",18.6,15.0,66.1,12.2,
Canterbury,"2016,Jan,25","08,00",15.3,14.9,95.0,14.5,
Canterbury,"2016,Jan,25","08,00",10.6,8.4,74.0,5.9,
Canterbury,"2016,Jan,25","08,00",11.4,10.0,83.0,8.5,
Canterbury,"2016,Jan,25","08,00",19.5,18.5,90.4,17.9,
Canterbury,"2016,Jan,25","08,00",15.9,15.4,94.0,15.0,
Canterbury,"2016,Jan,25","08,00",19.0,18.6,96.1,18.4,
Canterbury,"2016,Jan,25","08,00",17.0,16.1,90.7,15.5,
Canterbury,"2016,Jan,25","08,00",15.9,15.5,95.7,15.2,
Canterbury,"2016,Jan,25","08,00",16.7,16.1,94.0,15.7,
Canterbury,"2016,Jan,25","08,00",16.8,15.5,87.0,14.6,
Canterbury,"2016,Jan,25","08,00",10.8,9.6,86.0,8.4,
Canterbury,"2016,Jan,25","08,00",16.2,15.6,94.0,15.2,
Canterbury,"2016,Jan,26","08,00",17.7,17.5,98.0,17.4,
Canterbury,"2016,Jan,26","08,00",15.5,15.0,95.0,14.7,
