agent_number,statistic,season,year,prop_missing,temperature,period_start,period_end,lat,lon,site,anomaly,reference_period
15752,Maximum,Summer,2019,0,19.933333333333300,2018-12-01,2019-02-28,-45.90129,170.5147,Dunedin,1.0522222222222200,1961-1990
15752,Maximum,Winter,2019,0,11.833333333333300,2019-06-01,2019-08-31,-45.90129,170.5147,Dunedin,0.9977777777777790,1961-1990
15752,Minimum,Autumn,2019,0,9.766666666666670,2019-03-01,2019-05-31,-45.90129,170.5147,Dunedin,1.4666666666666700,1961-1990
15752,Minimum,Spring,2019,0,7.266666666666670,2019-09-01,2019-11-30,-45.90129,170.5147,Dunedin,-0.02111111111111090,1961-1990
15752,Minimum,Summer,2019,0,12.3,2018-12-01,2019-02-28,-45.90129,170.5147,Dunedin,1.0211111111111100,1961-1990
15752,Minimum,Winter,2019,0,4.4,2019-06-01,2019-08-31,-45.90129,170.5147,Dunedin,0.6544444444444450,1961-1990
1615,Average,Autumn,2019,0,16.53333333333330,2019-03-01,2019-05-31,-37.673,176.196,Tauranga,0.9494252873563200,1961-1990
1615,Average,Spring,2019,0,15.066666666666700,2019-09-01,2019-11-30,-37.673,176.196,Tauranga,0.9482758620689660,1961-1990
1615,Average,Summer,2019,0,20.8,2018-12-01,2019-02-28,-37.673,176.196,Tauranga,1.9866666666666700,1961-1990
1615,Average,Winter,2019,0,11.566666666666700,2019-06-01,2019-08-31,-37.673,176.196,Tauranga,1.0300000000000000,1961-1990
1615,Maximum,Autumn,2019,0,21.03333333333330,2019-03-01,2019-05-31,-37.673,176.196,Tauranga,1.117241379310340,1961-1990
1615,Maximum,Spring,2019,0,19.5,2019-09-01,2019-11-30,-37.673,176.196,Tauranga,1.2551724137931000,1961-1990
1615,Maximum,Summer,2019,0,25.233333333333300,2018-12-01,2019-02-28,-37.673,176.196,Tauranga,2.1000000000000000,1961-1990
1615,Maximum,Winter,2019,0,15.6,2019-06-01,2019-08-31,-37.673,176.196,Tauranga,0.818888888888889,1961-1990
1615,Minimum,Autumn,2019,0,12.033333333333300,2019-03-01,2019-05-31,-37.673,176.196,Tauranga,0.8144444444444440,1961-1990
1615,Minimum,Spring,2019,0,10.666666666666700,2019-09-01,2019-11-30,-37.673,176.196,Tauranga,0.7111111111111100,1961-1990
1615,Minimum,Summer,2019,0,16.3,2018-12-01,2019-02-28,-37.673,176.196,Tauranga,1.8144444444444500,1961-1990
1615,Minimum,Winter,2019,0,7.533333333333330,2019-06-01,2019-08-31,-37.673,176.196,Tauranga,1.235555555555560,1961-1990
1770,Average,Autumn,2019,0,14.100000000000000,2019-03-01,2019-05-31,-38.10595,176.31485,Rotorua,NA,1961-1990
1770,Average,Spring,2019,0,12.6,2019-09-01,2019-11-30,-38.10595,176.31485,Rotorua,NA,1961-1990
1770,Average,Summer,2019,0,18.5,2018-12-01,2019-02-28,-38.10595,176.31485,Rotorua,NA,1961-1990
1770,Average,Winter,2019,0,8.700000000000000,2019-06-01,2019-08-31,-38.10595,176.31485,Rotorua,NA,1961-1990
1770,Maximum,Autumn,2019,0,19.166666666666700,2019-03-01,2019-05-31,-38.10595,176.31485,Rotorua,NA,1961-1990
1770,Maximum,Spring,2019,0,17.366666666666700,2019-09-01,2019-11-30,-38.10595,176.31485,Rotorua,NA,1961-1990
1770,Maximum,Summer,2019,0,23.766666666666700,2018-12-01,2019-02-28,-38.10595,176.31485,Rotorua,NA,1961-1990
1770,Maximum,Winter,2019,0,12.8,2019-06-01,2019-08-31,-38.10595,176.31485,Rotorua,NA,1961-1990
1770,Minimum,Autumn,2019,0,9,2019-03-01,2019-05-31,-38.10595,176.31485,Rotorua,NA,1961-1990
